Date,Close,Open,High,Low,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower
2024-12-06,1311.8,1291.65,1329.5,1277.0,2504097.0,13.936362478602831,-440.3896534398698,-276.8796218314528,3920.858470813223,927.5165291867772
2024-12-13,1273.35,1303.0,1315.45,1240.0,3377915.0,13.564513142603175,-454.94185851924976,-312.4920691690122,3887.4429255052673,786.4820744947331
2024-12-20,1206.0,1275.0,1281.6,1202.1,2955813.0,12.91450146077527,-466.5312857635595,-343.2999124879217,3841.128841910996,653.551158089004
2024-12-27,1220.95,1217.25,1233.45,1213.15,4810858.0,13.90079091391317,-469.10213291208015,-368.46035657275337,3780.463714695218,541.4812853047817
2025-01-03,1251.35,1219.65,1262.3,1206.4,2170952.0,15.984490410805847,-463.3453649183332,-387.43735824186933,3698.2951432514064,453.16985674859257
2025-01-10,1242.35,1251.55,1270.7,1215.3,2938301.0,15.862099209955701,-454.2727362631947,-400.80443384613443,3590.939407960698,384.7655920393015
2025-01-17,1301.3,1230.0,1325.1,1225.6,3841210.0,20.173557217804174,-437.2850900375081,-408.1005650844092,3458.1000766304405,345.75992336955915
2025-01-24,1245.9,1319.35,1319.35,1244.0,4320312.0,19.178914407130264,-423.4117479514289,-411.16280165781313,3323.740334732274,311.7246652677263
2025-01-31,1264.9,1239.9,1266.0,1218.9,2009105.0,20.62435566483559,-406.2014457705816,-410.1705304803669,3164.5159883904407,302.99401160955927
2025-02-07,1266.85,1250.0,1290.0,1238.0,1685014.0,20.780948216414515,-387.9329589249535,-405.7230161692843,2972.9684398271484,323.91656017285163
2025-02-14,1216.95,1263.8,1266.0,1193.65,2409879.0,19.709409031743732,-373.1797802404876,-399.21436898352493,2724.444816221,388.89518377900026
2025-02-21,1227.7,1215.75,1239.95,1205.15,1638584.0,20.65856017782548,-356.51071112598606,-390.6736374120172,2511.429404046564,447.30059595343596
2025-03-07,1249.1,1209.8,1254.5,1156.0,2624990.0,22.619623217245376,-337.68097650777577,-380.0751052311689,2261.749908405664,547.670091594336
